Emp ID,Employee_name,Gender,Date of Birth,Age in Yrs.,Weight in Kgs.,Year of Joining,Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region
241882,Debra Wood,F,10/30/1969,47.78,54,1991,84318,19%,342-11-6695,308-646-6219,Blair,Washington,Blair,NE,68009,Midwest
758872,Henry Jenkins,M,11-06-1984,32.75,70,2017,102384,11%,499-29-3125,314-731-7135,Riverside,Platte,Riverside,MO,64150,Midwest
940922,Melissa Butler,F,11/14/1994,22.72,55,2017,167631,30%,301-15-9149,308-827-9016,Maxwell,Lincoln,Maxwell,NE,69151,Midwest
917937,Todd Hall,M,8/31/1991,25.93,74,2016,163560,0%,633-31-1781,240-513-8668,Randallstown,Baltimore,Randallstown,MD,21133,South
917395,Christopher Nelson,M,3/29/1960,57.37,62,1997,190765,0%,120-98-6155,480-946-9780,Willow Beach,Mohave,Willow Beach,AZ,86445,West
183071,Andrea Garcia,F,07-06-1985,32.08,52,2010,54179,25%,213-91-6792,219-624-3708,Granger,St. Joseph,Granger,IN,46530,Midwest
316110,Jeremy Sanchez,M,02-05-1965,52.51,52,2006,178847,1%,474-55-8883,423-974-2755,Alcoa,Blount,Alcoa,TN,37701,South
293459,Steven Phillips,M,09-12-1986,30.9,58,2015,90108,24%,578-53-9940,225-968-5952,Baton Rouge,East Baton Rouge,Baton Rouge,LA,70833,South
732017,Cynthia Ramirez,F,9/22/1982,34.87,47,2009,90531,2%,355-08-4606,406-961-7340,Browning,Glacier,Browning,MT,59417,West
915638,Jason Anderson,M,01-03-1974,43.59,57,1999,76636,19%,048-15-7937,217-856-6752,Hudson,McLean,Hudson,IL,61748,Midwest
478003,Cynthia White,F,6/15/1963,54.16,60,2004,186200,30%,364-39-4983,314-593-3092,Kansas City,Jackson,Kansas City,MO,64133,Midwest
951225,Margaret Brooks,F,6/27/1992,25.1,56,2016,43867,9%,057-02-6958,303-960-0117,Haswell,Kiowa,Haswell,CO,81045,West
883936,Douglas Flores,M,4/21/1986,31.29,61,2009,181793,20%,324-11-6837,303-836-4721,Eckert,Delta,Eckert,CO,81418,West
528673,Paul Watson,M,03-09-1959,58.43,60,1995,145235,15%,286-15-9671,270-556-7711,Blue River,Floyd,Blue River,KY,41607,South
765850,Linda Moore,F,8/18/1991,25.96,40,2017,113256,18%,286-15-5442,215-793-7095,Albion,Erie,Albion,PA,16401,Northeast
262382,Cheryl Miller,F,4/20/1985,32.29,48,2007,64143,3%,287-15-4772,270-880-3858,Bays,Breathitt,Bays,KY,41310,South
870820,Martha Washington,F,3/28/1991,26.35,54,2017,116629,25%,416-67-0297,405-945-0242,Nardin,Kay,Nardin,OK,74646,South
806955,William Hernandez,M,7/22/1967,50.05,50,2000,73734,22%,629-31-9010,239-276-0532,Mary Esther,Okaloosa,Mary Esther,FL,32569,South
325319,Carolyn Price,F,5/30/1976,41.19,60,2014,48736,2%,512-33-3410,217-409-4338,Wheaton,DuPage,Wheaton,IL,60189,Midwest
623253,Ruby Stewart,F,10/23/1968,48.79,48,2017,174774,7%,007-11-1727,218-445-2369,Margie,Koochiching,Margie,MN,56658,Midwest
225925,Paul Cooper,M,08-12-1991,25.98,68,2014,73526,27%,613-87-0084,210-984-4722,Glidden,Colorado,Glidden,TX,78943,South
761821,Ernest Washington,M,10/28/1984,32.77,87,2015,176675,15%,178-86-1878,212-596-1659,Saranac Lake,Franklin,Saranac Lake,NY,12983,Northeast
400173,Dorothy Edwards,F,1/19/1984,33.55,57,2013,179017,1%,543-81-2192,215-902-6888,Philadelphia,Philadelphia,Philadelphia,PA,19132,Northeast
802554,Ryan Alexander,M,08-01-1993,24.01,65,2014,106628,24%,017-94-7572,225-395-3347,Jarreau,Pointe Coupee,Jarreau,LA,70749,South
476433,Lillian Mitchell,F,10/23/1974,42.79,55,1999,149878,3%,505-59-3960,316-876-1484,Wichita,Sedgwick,Wichita,KS,67214,Midwest
533952,Kelly Adams,F,5/23/1975,42.21,53,2013,51878,15%,474-55-8101,405-418-0037,Meno,Major,Meno,OK,73760,South
623929,Jimmy Howard,M,11/27/1966,50.7,87,2007,120631,13%,610-87-0251,212-855-9316,Oriskany,Oneida,Oriskany,NY,13424,Northeast
844177,Margaret Allen,F,09-08-1981,35.91,43,2013,180107,22%,137-25-8468,216-697-6987,Richmond Dale,Ross,Richmond Dale,OH,45673,Midwest
212893,Janet Henderson,F,12/24/1979,37.62,60,2012,114481,5%,018-94-7340,239-769-6347,Miami,Miami-Dade,Miami,FL,33166,South
185032,Eugene Perez,M,10-06-1979,37.84,59,2014,122950,26%,192-86-6418,262-472-7112,Racine,Racine,Racine,WI,53490,Midwest
867084,Deborah Smith,F,10/31/1977,39.77,54,2002,52767,28%,173-86-6203,907-279-8694,Atqasuk,North Slope,Atqasuk,AK,99791,West
969964,Janice Parker,F,01-12-1980,37.57,56,2016,147641,25%,733-26-1976,314-842-5984,Whiteman Air Force Base,Johnson,Whiteman Air Force Base,MO,65305,Midwest
158666,Rebecca Stewart,F,08-11-1961,56,55,1983,160043,9%,202-84-8294,209-233-7631,Independence,Inyo,Independence,CA,93526,West
489424,Phillip White,M,03-04-1978,39.43,82,2016,181774,7%,447-27-9469,503-668-6592,Mapleton,Lane,Mapleton,OR,97453,West
639892,Jose Hill,M,10-08-1994,22.82,89,2016,129774,15%,171-86-3825,228-245-5000,Biloxi,Harrison,Biloxi,MS,39532,South
704709,Harold Nelson,M,12/24/1984,32.61,77,2011,156194,0%,456-99-2066,217-555-9216,Carol Stream,Carol Stream,Carol Stream,IL,60351,Midwest
461593,Nicole Ward,F,12-12-1964,52.66,60,1989,95673,12%,196-84-2551,231-761-7861,Detroit,Wayne,Detroit,MI,48278,Midwest
392491,Theresa Murphy,F,12/30/1987,29.6,57,2010,51015,11%,249-99-8801,907-356-1555,Mc Grath,Yukon-Koyukuk (CA),Mc Grath,AK,99627,West
495141,Tammy Young,F,3/22/1979,38.38,55,2015,93650,7%,771-02-7046,231-290-3075,Alma,Gratiot,Alma,MI,48801,Midwest
,,,,,,,,,,,,,,,,
